timestamp	commit	skill	old_score	new_score	status	dimension	note	eval_mode
2026-06-27T18:00	baseline	teach_more_pic	-	77.3	baseline	-	初始评估	dry_run
2026-06-27T18:05	e1bba20	teach_more_pic	77.3	79.7	keep	D4/D7	加 STOP 检查点 + 修正组件数	dry_run
2026-06-27T18:10	fc83e0e	teach_more_pic	79.7	80.9	keep	D9	反例黑名单 9→13 条	dry_run
2026-06-27T18:15	b10be4c	teach_more_pic	80.9	82.6	keep	D5	图表数据格式 + 组件复制精确化	dry_run
2026-06-28T12:00	baseline	teach_more_pic	-	79.2	baseline	-	重构后新基线（splitted ref）	dry_run
2026-06-28T12:05	f4d4b3b	teach_more_pic	79.2	79.8	keep	D4	Step4/7 加 STOP 检查点	dry_run
2026-06-28T12:10	29129e7	teach_more_pic	79.8	81.5	keep	D5	替换"建议"措辞 + 文件命名 + 设计读法格式	dry_run
2026-06-28T12:15	c8ae98f	teach_more_pic	81.5	82.1	keep	D4	Step6 SPA 加 STOP 检查点	dry_run
2026-06-28T14:22	baseline	teach_more_pic	-	82.3	baseline	-	基线评估（9维：9/9/9/8/9/8/8/7/9）	dry_run
2026-06-28T14:30	306f6b7	teach_more_pic	82.3	85.8	keep	D8	Step3 添加最终 HTML 结构示例	dry_run
2026-06-28T14:35	ecc8f8b	teach_more_pic	85.8	86.0	keep	D1	frontmatter 补充 NOT scope + 新触发器	dry_run
2026-06-28T14:40	3637db9	teach_more_pic	86.0	86.6	keep	D4	STOP 改为等待用户"确认"回复 + 修改循环	dry_run
2026-06-28T16:10	fb704eb	teach_more_pic	86.6	88.4	keep	D3+D9	失败模式 3→4 列加超时判定；反例 14→18 条 ECharts/CDN/D3	dry_run
2026-06-28T15:00	fb704eb	teach_more_pic	88.4	88.8	keep	D2/D6	Step7 STOP 修正 + 资源速查表	dry_run
2026-06-28T15:05	2c37a09	teach_more_pic	88.8	89.5	keep	D5/D6	CDN URLs + INSERT 注释位 + 资源表	dry_run
